block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
0000000000000000009237625fc3366547b93d460f3d02ca682867d94c19e603	545654	224	414	86875	4276783	40582	16188567	11173474	14976	211575524	17469	29505	243316880	139634	14731805	194805	4083	781383	226178	1230	16079118
000000000000000000905553eaf32483c1d591ad39d9ad7bfbf6bea465f76a6b	545655	180	285	59821	3045069	559160	12889470	7381398	15776	124497905	14507	28390	148431675	142276	11670611	208560	5909	553453	209637	1120	12791566
0000000000000000012fe018d841d5464ab444c5a34ad5758e1c28323d02a62b	545656	17	86	14659	561212	31664	2735526	2718223	13635	14817692	16655	25668	20920275	133879	2084967	61060	4619	108057	259957	1278	2653817
00000000000000000096518dfe03571e0d6708516fbffec71978ffc2ca759034	545657	7	9	1910	200745	494597	2660816	340582	9990	8190281	11339	25581	11933931	134764	2322496	49843	4474	45156	42396	986	2600115
000000000000000000e9afb539225eae47bfef72f0b649741b8495228f2368dd	545658	379	810	162694	7173719	26108	26633955	23675921	14894	377164857	15760	81782	434786996	142521	23538695	391268	4964	1559199	882474	1674	26520795
000000000000000000f830323e7ad90ccaef89f4837de3be8c96e69407684f54	545659	119	252	77121	2770993	979374	12001161	9246035	14086	245866021	14688	36338	270928696	138816	9634591	144191	5373	610170	1371487	1479	11906107
000000000000000001b8ea25effd103fc87f263c81e535f2d783439a3351b1bd	545660	24	134	37011	556643	790524	6181570	13552138	14494	40307334	13162	33455	61449320	103273	4236917	68698	4236	150666	1527754	1262	6092806
000000000000000000416fbf24cabce0a839cfbd29f67d15f926f6adf43e4caa	545661	91	777	216479	2492723	485069	16161884	91309135	11772	177980857	12322	78833	288532595	91477	8952589	173243	5930	3812197	3009792	2230	16047458
0000000000000000017fa8e29923968a39a83ecae05af1edcba3020c5fd4925a	545662	40	75	15420	375315	399420	3447843	2534801	12900	35654655	17799	85117	42527850	85417	2895519	66927	3246	292417	25871	1104	3370501
000000000000000001aa1e303de7f494b298f31e6549e5faf93fbd21c443374a	545663	399	1029	206996	4132693	731315	54676452	45541880	15462	410410822	15878	33785	515558287	94209	51184732	592767	6260	1648486	1023580	1669	54551703
00000000000000000043382728dc9c6c582dfd60ea13693811ffb18d563ddd58	545664	2405	2849	615126	18298880	513996	162093508	35020433	11569	324620519	15371	38927	540613203	96129	150601110	2635275	7934	4431094	4223692	1369	161996603
00000000000000000077295792f03d2be966ffc7996eabd0a28b8bc9af6324c9	545665	238	502	93880	4584647	524005	19603603	16172396	14155	57171767	21337	71951	98163861	141755	17462189	202403	4245	743009	937158	1338	19492097
000000000000000000b81ac79f29b956ddf26cd2227efa2acc6d87a6a9437213	545666	35	79	14479	809467	855826	3929715	2089301	12834	25314808	18233	71234	33101418	140839	3034979	99244	5272	386391	115340	1356	3783421
0000000000000000011f5c0523e7cd89fc6928c8b1ce18720c216ca5a0cbaa39	545667	13	23	7215	351877	18983	2176634	906308	9777	7731549	14010	21628	11230766	132866	1533203	53208	4874	84085	295369	924	2104529
000000000000000001b698868fbc7041c375d120ae212b95ccfcd3221b086c3a	545668	6	10	1883	256195	521418	2125650	364551	9147	3484649	14258	66594	6842462	135120	1771245	52535	3516	51247	48213	925	2062801
0000000000000000005ace2295fcb28a7224fc197c5636829720feaa4f3ea797	545669	7	15	2873	189001	12430	1380131	839016	9718	6480086	12264	38347	8960993	127442	984656	33687	4271	122155	45591	845	1318647
00000000000000000019620da82499844ddd515c8dc98a1a5cf9d141d802b755	545670	95	222	44283	1939395	469002	6200716	7738043	14401	81737493	14262	70696	98184008	138352	5251542	124376	5098	249550	336205	1396	6106519
000000000000000000eac4f9f4e794daddbd1fc1128e6125e30c5e9b78cc839e	545671	4	203	36692	847564	524735	4153659	18682286	15970	19970366	16675	74770	44286025	136653	2419894	207464	4515	26422	1267217	1228	4063393
000000000000000001b7a767aca2e70a196a28f7327184e74125ca543e8847f6	545672	54	192	34346	1275915	1316888	5541837	8601570	14712	41956875	14912	71327	58794036	138135	4357745	104548	4602	332315	490752	1197	5429294
000000000000000000ba32bcea433ff2bab44fcd745c6ae9db8a1ea2fb1d763e	545673	1005	1069	240832	14606270	586155	50051462	19819846	12072	117253392	11796	31114	202372107	141670	46397425	828824	7848	1883972	694682	1186	49955607
000000000000000000f2a38818abe3006f8f6973dcf2a497ed6809383a0f0937	545674	196	427	91153	1827844	825490	10680540	11882278	11015	166702157	14788	23461	191967573	87898	9398077	154407	3237	891222	70331	1097	10606269
00000000000000000037f3c2eab0c128cea81e0ac70702fb3d74ec8787779961	545675	2690	2818	627741	19836135	895405	193334009	32227338	15249	153701496	17124	35373	400062129	90759	180527916	4075688	11600	5933495	2579472	1476	193220406
0000000000000000023c902aa2457dac7331e91e2670f5f7b6861090c292e257	545676	2247	2357	520933	32279796	22384	137162828	25815898	11287	148228806	14062	25148	343560209	133830	126798218	2705042	8713	7300796	87270	1712	137035581
0000000000000000010c0cd0a734403a513de9714e74f18e1e58f2797cdb8c8a	545677	60	295	48100	793963	11243	6689921	8365882	10549	41633542	15739	25335	57546174	85488	5722003	116174	3904	524612	151207	971	6604359
000000000000000001c1362c5cf2c5755649939ddca0f910abf1dba3b858868f	545678	149	311	61644	1307464	485054	11814846	10091374	11015	139092580	12445	67042	162881820	87473	10678952	191688	4048	669302	106497	1039	11738999
000000000000000000d242a1abc1f5fc0e960cad4ab7fcdda53b35458884b013	545679	69	103	22790	561727	8986	5405068	3508792	9970	59112807	12177	63611	68683138	84168	4762942	155949	4466	295416	33119	858	5336918
00000000000000000144743c735e98fcc1531aa62b56242ae2ab9b298ae23445	545680	16	23	5143	173803	18846	2019268	691878	7672	11690887	9961	16302	14628617	85003	1701749	40837	3662	101943	23443	957	1957594
000000000000000000a4fcea042fdfd124cf745f37517afd3f22fe0fc975a26b	545681	41	205	34999	1130329	1738474	3559323	8335515	10076	25911160	8367	19479	40712723	131640	2677323	65694	3840	291536	316763	966	3487762
